TIME,TYPE,TEMPERATURE,PRESSURE,HUMIDITY
2019-06-14 12:53:46,AVG,21.00,1010.30,57.76
2019-06-14 12:54:06,AVG,21.00,1009.22,57.28
2019-06-14 12:54:26,AVG,21.00,1009.22,57.60
2019-06-14 12:54:46,AVG,21.00,1010.30,57.44
2019-06-14 12:55:06,AVG,21.00,1010.30,57.76
2019-06-14 12:55:26,AVG,21.00,1010.30,57.76
2019-06-14 12:55:46,AVG,21.00,1010.30,57.60
2019-06-14 12:56:06,AVG,21.00,1010.30,57.60
2019-06-14 12:56:26,AVG,21.00,1010.30,57.44
2019-06-14 12:56:46,AVG,21.00,1010.30,57.28
2019-06-14 12:57:06,AVG,21.00,1010.30,57.91
2019-06-14 12:57:26,AVG,21.00,1010.30,57.60
2019-06-14 12:57:46,AVG,21.00,1010.30,57.76
2019-06-14 12:58:06,AVG,21.00,1010.30,57.60
2019-06-14 12:58:26,AVG,21.00,1010.30,57.44
2019-06-14 12:58:46,AVG,21.00,1010.30,57.60
2019-06-14 12:59:06,AVG,21.00,1010.30,57.76
2019-06-14 12:59:26,AVG,21.00,1010.30,57.76
2019-06-14 12:59:46,AVG,21.00,1010.30,57.91
2019-06-14 13:00:06,AVG,21.00,1010.30,58.07
2019-06-14 13:00:26,AVG,21.00,1010.30,58.07
2019-06-14 13:00:46,AVG,21.00,1010.30,58.07
2019-06-14 13:01:06,AVG,21.00,1010.30,57.91
2019-06-14 13:01:26,AVG,21.00,1010.30,57.76
2019-06-14 13:01:46,AVG,21.00,1010.30,57.91
2019-06-14 13:02:06,AVG,20.78,1010.30,58.23
2019-06-14 13:02:26,AVG,21.00,1010.30,57.91
2019-06-14 13:02:46,AVG,21.00,1010.30,58.23
2019-06-14 13:03:06,AVG,21.00,1010.30,58.23
2019-06-14 13:03:26,AVG,20.78,1010.30,58.07
2019-06-14 13:03:46,AVG,21.00,1010.30,58.07
2019-06-14 13:04:06,AVG,21.00,1010.30,58.86
2019-06-14 13:04:26,AVG,21.00,1009.22,58.07
2019-06-14 13:04:46,AVG,21.00,1010.30,58.07
2019-06-14 13:05:06,AVG,21.00,1010.30,58.23
2019-06-14 13:05:26,AVG,21.00,1010.30,58.23
2019-06-14 13:05:46,AVG,21.00,1010.30,58.39
2019-06-14 13:06:06,AVG,21.00,1010.30,58.39
2019-06-14 13:06:26,AVG,21.00,1010.30,58.23
2019-06-14 13:06:46,AVG,21.00,1009.22,58.07
2019-06-14 13:07:06,AVG,21.00,1010.30,58.23
2019-06-14 13:07:26,AVG,21.00,1010.30,57.91
2019-06-14 13:07:46,AVG,21.00,1009.22,58.07
2019-06-14 13:08:06,AVG,21.00,1010.30,58.07
2019-06-14 13:08:26,AVG,21.00,1010.30,58.39
2019-06-14 13:08:46,AVG,21.00,1010.30,58.07
2019-06-14 13:09:06,AVG,21.00,1010.30,58.39
2019-06-14 13:09:26,AVG,21.00,1009.22,58.23
2019-06-14 13:09:46,AVG,21.00,1010.30,58.23
2019-06-14 13:10:06,AVG,21.00,1010.30,58.23
2019-06-14 13:10:26,AVG,21.00,1010.30,58.23
2019-06-14 13:10:46,AVG,21.00,1010.30,58.39
2019-06-14 13:11:06,AVG,21.00,1010.30,58.39
2019-06-14 13:11:26,AVG,21.00,1009.22,58.39
